#Parameters = {Conductivity=2500; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) [Real]"
#--------------------------------------------------------------------
0.10000000000000	-50.311740485973
0.15000000000000	-42.139881427682
0.20000000000000	-35.854511216814
0.25000000000000	-30.488053585277
0.30000000000000	-27.703267068021
0.35000000000000	-28.295377871346
0.40000000000000	-27.738030601723
0.45000000000000	-24.867671363834
0.50000000000000	-24.318256011161
0.55000000000000	-26.219822048678
0.60000000000000	-27.067383439217
0.65000000000000	-25.243585807396
0.70000000000000	-22.927739454877
0.75000000000000	-21.341982727317
0.80000000000000	-20.599638973415
0.85000000000000	-20.324998344854
0.90000000000000	-20.296548138468
0.95000000000000	-19.927169871476
1.0000000000000	-20.138919511574
1.0500000000000	-20.631895203254
1.1000000000000	-21.602121461062
1.1500000000000	-22.204043201549
1.2000000000000	-22.899279041220
1.2500000000000	-24.341991695695
1.3000000000000	-24.654203311750
1.3500000000000	-24.592995594806
1.4000000000000	-24.801218358558
1.4500000000000	-25.663542549408
1.5000000000000	-26.975717194723
